Local time,Open,High,Low,Close,Volume
01.03.2022 03:46:00.000 GMT+0100,1903.688,1903.718,1903.478,1903.488,72659.9991
01.03.2022 03:47:00.000 GMT+0100,1903.488,1903.538,1903.258,1903.388,56790.0017
01.03.2022 03:48:00.000 GMT+0100,1903.388,1903.488,1903.258,1903.348,71699.9993
01.03.2022 03:49:00.000 GMT+0100,1903.348,1903.548,1903.222,1903.518,80689.9965
01.03.2022 03:50:00.000 GMT+0100,1903.518,1903.518,1903.068,1903.068,71259.9978
01.03.2022 03:51:00.000 GMT+0100,1903.068,1903.068,1902.738,1902.908,73650.0025
01.03.2022 03:52:00.000 GMT+0100,1902.928,1902.938,1902.808,1902.858,33900.0002
01.03.2022 03:53:00.000 GMT+0100,1902.858,1902.858,1902.508,1902.708,46900.0004
01.03.2022 03:54:00.000 GMT+0100,1902.708,1902.938,1902.658,1902.938,35620.0002
01.03.2022 03:55:00.000 GMT+0100,1902.938,1903.168,1902.938,1902.988,32209.9999
01.03.2022 03:56:00.000 GMT+0100,1902.968,1902.988,1902.758,1902.928,16559.9994
01.03.2022 03:57:00.000 GMT+0100,1902.930,1903.398,1902.930,1903.368,20980.0005
01.03.2022 03:58:00.000 GMT+0100,1903.368,1903.548,1903.348,1903.398,21449.9999
01.03.2022 03:59:00.000 GMT+0100,1903.388,1903.398,1903.178,1903.298,22740.0009
01.03.2022 04:00:00.000 GMT+0100,1903.288,1903.288,1902.918,1902.958,18479.9992
01.03.2022 04:01:00.000 GMT+0100,1902.938,1903.208,1902.872,1902.872,31980.0004
01.03.2022 04:02:00.000 GMT+0100,1902.875,1903.784,1902.688,1903.679,41439.9989
01.03.2022 04:03:00.000 GMT+0100,1903.668,1904.217,1903.587,1904.138,47680.0017
01.03.2022 04:04:00.000 GMT+0100,1904.138,1904.438,1903.808,1903.904,57339.9998
01.03.2022 04:05:00.000 GMT+0100,1903.911,1904.368,1903.898,1904.178,62490.0013
01.03.2022 04:06:00.000 GMT+0100,1904.178,1904.248,1904.008,1904.008,47260.0013
01.03.2022 04:07:00.000 GMT+0100,1904.008,1904.098,1903.668,1903.928,42660.0017
01.03.2022 04:08:00.000 GMT+0100,1903.888,1903.958,1903.728,1903.838,41760.0013
01.03.2022 04:09:00.000 GMT+0100,1903.838,1903.888,1903.708,1903.848,35679.9997
01.03.2022 04:10:00.000 GMT+0100,1903.806,1903.848,1903.608,1903.688,59909.9994
01.03.2022 04:11:00.000 GMT+0100,1903.668,1903.828,1903.618,1903.808,124159.9992
01.03.2022 04:12:00.000 GMT+0100,1903.808,1904.038,1903.598,1903.598,98930.0013
01.03.2022 04:13:00.000 GMT+0100,1903.595,1903.652,1903.398,1903.439,82259.9977
01.03.2022 04:14:00.000 GMT+0100,1903.440,1903.468,1903.248,1903.338,125300.0051
